iter	Passed	Remaining
0	0	63
1	1	55
2	1	54
3	2	50
4	2	49
5	3	47
6	3	46
7	3	45
8	4	44
9	4	44
10	5	43
11	5	43
12	6	42
13	6	41
14	7	41
15	7	40
16	8	39
17	8	38
18	8	38
19	9	37
20	9	37
21	10	36
22	10	36
23	11	35
24	11	34
25	12	34
26	12	34
27	13	33
28	13	33
29	14	32
30	14	32
31	15	31
32	15	31
33	16	31
34	16	30
35	17	30
36	17	29
37	18	29
38	18	29
39	19	28
40	19	28
41	19	27
42	20	27
43	20	26
44	21	26
45	22	25
46	22	25
47	23	25
48	23	24
49	24	24
50	25	24
51	25	23
52	26	23
53	26	22
54	27	22
55	27	21
56	28	21
57	28	20
58	29	20
59	30	20
60	30	19
61	31	19
62	32	18
63	32	18
64	33	17
65	34	17
66	34	17
67	35	16
68	36	16
69	36	15
70	37	15
71	38	14
72	38	14
73	39	13
74	40	13
75	40	12
76	41	12
77	42	11
78	42	11
79	43	10
80	43	10
81	44	9
82	45	9
83	45	8
84	46	8
85	46	7
86	47	7
87	48	6
88	48	6
89	49	5
90	50	4
91	50	4
92	51	3
93	52	3
94	52	2
95	53	2
96	54	1
97	55	1
98	56	0
99	56	0
